k_step      t_sim  nID  pos    Ground Truth (x,y)    Prediction   (x,y)  tID  s0_OK  DMiss  TLost  in_e2e_delay
    42        411    2    0      84.84       82.8      85.03      82.36    0      1      0      0          0
    42        411    3    0      84.84       82.8       84.5      83.05    0      1      0      0          0
    43        421    0    0      86.02      82.53      85.72      82.02    0      1      0      0          0
    43        421    1    0      86.02      82.53      85.83      83.11    0      1      0      0          0
    43        421    2    0      86.02      82.53      86.04      81.91    0      1      0      0          0
    43        421    3    0      86.02      82.53      86.05         83    0      1      0      0          0
    44        431    0    0      86.02      82.53      86.05      82.58    0      1      0      0          0
    44        431    1    0      86.02      82.53      85.32      80.94    0      1      0      0          0
    44        431    2    0      86.02      82.53      85.71      82.35    0      1      0      0          0
    44        431    3    0      86.02      82.53      85.94      82.88    0      1      0      0          0
    45        441    0    0      87.46       81.7      87.31      81.48    0      1      0      0          0
    45        441    1    0      87.46       81.7      87.28      82.32    0      1      0      0          0
    45        441    2    0      87.46       81.7      87.11      80.37    0      1      0      0          0
    45        441    3    0      87.46       81.7      87.05       81.2    0      1      0      0          0
    46        451    0    0      87.46       81.7      86.39      81.77    0      1      0      0          0
    46        451    1    0      87.46       81.7      87.37      81.79    0      1      0      0          0
    46        451    2    0      87.46       81.7      87.04      81.56    0      1      0      0          0
    46        451    3    0      87.46       81.7      87.17      79.89    0      1      0      0          0
    47        461    0    0      86.36      80.51      85.99      80.86    0      1      0      0          0
    47        461    1    0      86.36      80.51      86.88      81.04    0      1      0      0          0
    47        461    2    0      86.36      80.51      86.89      78.63    0      1      0      0          0
    47        461    3    0      86.36      80.51       86.4       80.7    0      1      0      0          0
    48        471    0    0      86.36      80.51      86.18      80.39    0      1      0      0          0
    48        471    1    0      86.36      80.51      86.33      80.41    0      1      0      0          0
    48        471    2    0      86.36      80.51      86.41      80.58    0      1      0      0          0
    48        471    3    0      86.36      80.51      86.15      80.27    0      1      0      0          0
    49        481    0    0      85.36      79.33       84.8      79.31    0      1      0      0          0
    49        481    1    0      85.36      79.33      85.06      79.12    0      1      0      0          0
    49        481    2    0      85.36      79.33      85.09      79.55    0      1      0      0          0
    49        481    3    0      85.36      79.33      85.06      79.54    0      1      0      0          0
    50        491    0    0      85.36      79.33      84.75      78.53    0      1      0      0          0
    50        491    1    0      85.36      79.33      84.72      79.64    0      1      0      0          0
    50        491    2    0      85.36      79.33      84.93      79.39    0      1      0      0          0
    50        491    3    0      85.36      79.33      85.66       79.6    0      1      0      0          0
    51        501    0    0      84.38      78.49      84.28      77.89    0      1      0      0          0
    51        501    1    0      84.38      78.49      84.18      78.16    0      1      0      0          0
    51        501    2    0      84.38      78.49      82.75      77.16    0      1      0      0          0
    51        501    3    0      84.38      78.49      83.85      77.35    0      1      0      0          0
    52        511    0    0      84.38      78.49      84.48      78.03    0      1      0      0          0
    52        511    1    0      84.38      78.49      84.27      79.06    0      1      0      0          0
    52        511    2    0      84.38      78.49      84.08      78.82    0      1      0      0          0
    52        511    3    0      84.38      78.49      84.13      77.86    0      1      0      0          0
    53        521    0    0      83.35      77.54      83.65      77.53    0      1      0      0          0
    53        521    1    0      83.35      77.54      83.35      77.22    0      1      0      0          0
    53        521    2    0      83.35      77.54      83.53      77.97    0      1      0      0          0
    53        521    3    0      83.35      77.54      83.16      77.54    0      1      0      0          0
