k_step      t_sim  nID    Ground Truth (x,y)    Prediction   (x,y)  tID  TLost      delay_A    dalay_B
    40        391    3      85.57         83      87.25         84    0      0          0          0  
    41        401    0      84.84       82.8      83.26      84.29    0      0          0          0  
    41        401    1      84.84       82.8      85.74      83.19    0      0          0          0  
    41        401    2      84.84       82.8      84.86      83.11    0      0          0          0  
    41        401    3      84.84       82.8      86.02      83.72    0      0          0          0  
    42        411    0      84.84       82.8       83.3      82.83    0      0          0          0  
    42        411    1      84.84       82.8      85.34      82.86    0      0          0          0  
    42        411    2      84.84       82.8      85.03      82.36    0      0          0          0  
    42        411    3      84.84       82.8       84.5      83.05    0      0          0          0  
    43        421    0      86.02      82.53      85.72      82.02    0      0          0          0  
    43        421    1      86.02      82.53      85.83      83.11    0      0          0          0  
    43        421    2      86.02      82.53      86.04      81.91    0      0          0          0  
    43        421    3      86.02      82.53      86.05         83    0      0          0          0  
    44        431    0      86.02      82.53      86.05      82.58    0      0          0          0  
    44        431    1      86.02      82.53      85.32      80.94    0      0          0          0  
    44        431    2      86.02      82.53      85.71      82.35    0      0          0          0  
    44        431    3      86.02      82.53      85.94      82.88    0      0          0          0  
    45        441    0      87.46       81.7      87.31      81.48    0      0          0          0  
    45        441    1      87.46       81.7      87.28      82.32    0      0          0          0  
    45        441    2      87.46       81.7      87.11      80.37    0      0          0          0  
    45        441    3      87.46       81.7      87.05       81.2    0      0          0          0  
    46        451    0      87.46       81.7      86.39      81.77    0      0          0          0  
    46        451    1      87.46       81.7      87.37      81.79    0      0          0          0  
    46        451    2      87.46       81.7      87.04      81.56    0      0          0          0  
    46        451    3      87.46       81.7      87.17      79.89    0      0          0          0  
    47        461    0      86.36      80.51      85.99      80.86    0      0          0          0  
    47        461    1      86.36      80.51      86.88      81.04    0      0          0          0  
    47        461    2      86.36      80.51      86.89      78.63    0      0          0          0  
    47        461    3      86.36      80.51       86.4       80.7    0      0          0          0  
    48        471    0      86.36      80.51      86.18      80.39    0      0          0          0  
    48        471    1      86.36      80.51      86.33      80.41    0      0          0          0  
    48        471    2      86.36      80.51      86.41      80.58    0      0          0          0  
    48        471    3      86.36      80.51      86.15      80.27    0      0          0          0  
    49        481    0      85.36      79.33       84.8      79.31    0      0          0          0  
    49        481    1      85.36      79.33      85.06      79.12    0      0          0          0  
    49        481    2      85.36      79.33      85.09      79.55    0      0          0          0  
    49        481    3      85.36      79.33      85.06      79.54    0      0          0          0  
    50        491    0      85.36      79.33      84.75      78.53    0      0          0          0  
    50        491    1      85.36      79.33      84.72      79.64    0      0          0          0  
    50        491    2      85.36      79.33      84.93      79.39    0      0          0          0  
    50        491    3      85.36      79.33      85.66       79.6    0      0          0          0  
    51        501    0      84.38      78.49      84.28      77.89    0      0          0          0  
    51        501    1      84.38      78.49      84.18      78.16    0      0          0          0  
    51        501    2      84.38      78.49      82.75      77.16    0      0          0          0  
    51        501    3      84.38      78.49      83.85      77.35    0      0          0          0  
    52        511    0      84.38      78.49      84.48      78.03    0      0          0          0  
    52        511    1      84.38      78.49      84.27      79.06    0      0          0          0  
    52        511    2      84.38      78.49      84.08      78.82    0      0          0          0  
    52        511    3      84.38      78.49      84.13      77.86    0      0          0          0  
    53        521    0      83.35      77.54      83.65      77.53    0      0          0          0  
    53        521    1      83.35      77.54      83.35      77.22    0      0          0          0  
    53        521    2      83.35      77.54      83.53      77.97    0      0          0          0  
    53        521    3      83.35      77.54      83.16      77.54    0      0          0          0  
    54        531    0      83.35      77.54      83.38       77.2    0      0          0          0  
    54        531    1      83.35      77.54      83.84      77.99    0      0          0          0  
    54        531    2      83.35      77.54      82.87      76.32    0      0          0          0  
    54        531    3      83.35      77.54      83.67      76.73    0      0          0          0  
    55        541    0      82.38      76.78      81.56      76.04    0      0          0          0  
    55        541    1      82.38      76.78       82.6      76.61    0      0          0          0  
    55        541    2      82.38      76.78      80.39      77.21    0      0          0          0  
    55        541    3      82.38      76.78      82.94      76.24    0      0          0          0  
    56        551    0      82.38      76.78      83.28      75.99    0      0          0          0  
    56        551    1      82.38      76.78      82.01      76.67    0      0          0          0  
    56        551    2      82.38      76.78      83.41      75.59    0      0          0          0  
    56        551    3      82.38      76.78      82.18      77.09    0      0          0          0  
    57        561    0      81.06      75.97      81.36      76.18    0      0          0          0  
    57        561    1      81.06      75.97      81.13      75.12    0      0          0          0  
    57        561    2      81.06      75.97       81.1      75.27    0      0          0          0  
    57        561    3      81.06      75.97      80.59      75.16    0      0          0          0  
    58        571    0      81.06      75.97      81.31      74.35    0      0          0          0  
    58        571    1      81.06      75.97      80.27      76.03    0      0          0          0  
    58        571    2      81.06      75.97      80.98      76.32    0      0          0          0  
    58        571    3      81.06      75.97      80.46      76.04    0      0          0          0  
    59        581    0      79.69      74.78      78.63      75.26    0      0          0          0  
    59        581    1      79.69      74.78      79.08      73.82    0      0          0          0  
    59        581    2      79.69      74.78      79.85      75.22    0      0          0          0  
    59        581    3      79.69      74.78      80.46      75.06    0      0          0          0  
    60        591    0      79.69      74.78      78.84       74.1    0      0          0          0  
    60        591    1      79.69      74.78      79.15      75.09    0      0          0          0  
    60        591    2      79.69      74.78      78.76      74.81    0      0          0          0  
    60        591    3      79.69      74.78      79.47      75.96    0      0          0          0  
    61        601    0      78.36      73.86      77.87      73.52    0      0          0          0  
    61        601    1      78.36      73.86      79.66      75.08    0      0          0          0  
    61        601    2      78.36      73.86      78.66      74.47    0      0          0          0  
    61        601    3      78.36      73.86      78.16      74.01    0      0          0          0  
    62        611    0      78.36      73.86       77.9      71.94    0      0          0          0  
    62        611    1      78.36      73.86      76.95      71.86    0      0          0          0  
    62        611    2      78.36      73.86      78.12      73.58    0      0          0          0  
    62        611    3      78.36      73.86      78.16      73.64    0      0          0          0  
    63        621    0      77.42      72.82       77.2      72.68    0      0          0          0  
    63        621    1      77.42      72.82      76.79      72.02    0      0          0          0  
    63        621    2      77.42      72.82      77.84      72.13    0      0          0          0  
    63        621    3      77.42      72.82      76.91      72.59    0      0          0          0  
    64        631    0      77.42      72.82      78.38      72.94    0      0          0          0  
    64        631    1      77.42      72.82      77.13      72.86    0      0          0          0  
    64        631    2      77.42      72.82      77.56      72.35    0      0          0          0  
    64        631    3      77.42      72.82       77.3      72.87    0      0          0          0  
    65        641    0      76.24      71.87      76.97       73.2    0      0          0          0  
    65        641    1      76.24      71.87      75.86      71.97    0      0          0          0  
    65        641    2      76.24      71.87      77.08      70.94    0      0          0          0  
    65        641    3      76.24      71.87      76.28      71.63    0      0          0          0  
    66        651    0      76.24      71.87      75.12       72.9    0      0          0          0  
    66        651    1      76.24      71.87      76.63      71.44    0      0          0          0  
